token	corpus size	all contexts size	frequency	co-frequency	specificity
“	164029	17316	1118	355	82.54
”	164029	17316	1111	348	79.17
文化	164029	17316	307	146	59.63
撞	164029	17316	47	45	41.03
饿	164029	17316	66	47	30.60
节	164029	17316	40	34	26.92
的	164029	17316	6762	986	25.75
人	164029	17316	1096	228	23.01
鬼	164029	17316	1363	257	19.71
故事	164029	17316	361	97	17.64
是	164029	17316	1854	314	16.77
，	164029	17316	8769	1156	15.68
中国	164029	17316	286	79	15.28
上身	164029	17316	13	13	12.70
墙	164029	17316	25	18	12.24
cultures	164029	17316	12	12	11.72
宋定伯	164029	17316	25	17	10.96
归	164029	17316	49	24	10.85
为	164029	17316	476	98	10.28
见	164029	17316	87	31	9.43
了	164029	17316	1011	170	9.40
存在	164029	17316	284	65	9.00
。	164029	17316	4472	592	8.86
压床	164029	17316	11	10	8.77
怕	164029	17316	51	22	8.70
此	164029	17316	191	49	8.69
概念	164029	17316	48	21	8.47
中	164029	17316	762	131	8.07
字	164029	17316	69	25	7.93
打	164029	17316	47	20	7.85
speaking	164029	17316	8	8	7.81
死	164029	17316	266	59	7.75
Ghosts	164029	17316	51	20	7.14
经验	164029	17316	22	12	6.39
古人	164029	17316	19	11	6.25
世界	164029	17316	171	40	6.16
厶	164029	17316	16	10	6.15
吊	164029	17316	13	9	6.13
说	164029	17316	244	51	6.04
贼害	164029	17316	6	6	5.86
屋	164029	17316	14	9	5.73
有	164029	17316	1060	158	5.64
也	164029	17316	632	103	5.57
谷子	164029	17316	34	14	5.50
定义	164029	17316	12	8	5.31
既然	164029	17316	12	8	5.31
为什	164029	17316	55	18	5.21
只	164029	17316	123	30	5.21
过	164029	17316	202	42	5.09
明确	164029	17316	16	9	5.07
索命	164029	17316	7	6	5.06
女尸	164029	17316	10	7	4.90
之	164029	17316	488	81	4.88
可以	164029	17316	208	42	4.78
解释	164029	17316	105	26	4.74
？	164029	17316	286	53	4.73
魂	164029	17316	35	13	4.59
出现	164029	17316	165	35	4.57
浴室	164029	17316	11	7	4.51
投胎	164029	17316	8	6	4.51
其实	164029	17316	41	14	4.43
神	164029	17316	91	23	4.43
从	164029	17316	168	35	4.41
一个	164029	17316	317	56	4.37
治	164029	17316	12	7	4.18
美索不达米亚	164029	17316	6	5	4.15
捉	164029	17316	6	5	4.15
么	164029	17316	346	59	4.14
谓	164029	17316	20	9	4.10
阴气	164029	17316	16	8	4.09
谁	164029	17316	29	11	4.08
该	164029	17316	44	14	4.06
这种	164029	17316	176	35	4.01
这个	164029	17316	149	31	4.00
听	164029	17316	35	12	3.91
此谓	164029	17316	4	4	3.91
民间鬼怪	164029	17316	4	4	3.91
Ghostlore	164029	17316	4	4	3.91
Souls	164029	17316	4	4	3.91
Filipino	164029	17316	4	4	3.91
Malay	164029	17316	4	4	3.91
加勒比海	164029	17316	4	4	3.91
Mesopotamian	164029	17316	4	4	3.91
religions	164029	17316	4	4	3.91
Spanish	164029	17316	4	4	3.91
针口	164029	17316	4	4	3.91
悚人	164029	17316	4	4	3.91
搞什	164029	17316	4	4	3.91
宛市	164029	17316	4	4	3.91
就	164029	17316	509	79	3.88
没有	164029	17316	159	32	3.83
似乎	164029	17316	26	10	3.82
所谓	164029	17316	31	11	3.78
归土	164029	17316	10	6	3.73
表明	164029	17316	22	9	3.72
遇到	164029	17316	37	12	3.66
属性	164029	17316	7	5	3.66
汉语	164029	17316	7	5	3.66
部首	164029	17316	7	5	3.66
混	164029	17316	7	5	3.66
更	164029	17316	171	33	3.60
种	164029	17316	283	48	3.51
特征	164029	17316	19	8	3.47
有关	164029	17316	50	14	3.44
――	164029	17316	15	7	3.41
文学	164029	17316	34	11	3.40
对	164029	17316	326	53	3.36
船	164029	17316	8	5	3.28
栖息	164029	17316	8	5	3.28
恐怖	164029	17316	89	20	3.28
到	164029	17316	376	59	3.27
形象	164029	17316	52	14	3.26
舞	164029	17316	5	4	3.26
心里	164029	17316	5	4	3.26
心念	164029	17316	5	4	3.26
鬼到底	164029	17316	5	4	3.26
确实	164029	17316	16	7	3.21
少女	164029	17316	16	7	3.21
容易	164029	17316	84	19	3.18
当代	164029	17316	12	6	3.18
便	164029	17316	72	17	3.13
◎	164029	17316	26	9	3.12
虽然	164029	17316	54	14	3.10
、	164029	17316	1460	186	3.03
会	164029	17316	624	88	3.00
见到	164029	17316	27	9	2.99
里	164029	17316	172	31	2.97
产物	164029	17316	13	6	2.96
后	164029	17316	294	47	2.95
所	164029	17316	271	44	2.94
说文	164029	17316	3	3	2.93
前夕	164029	17316	3	3	2.93
担	164029	17316	3	3	2.93
象鬼头	164029	17316	3	3	2.93
仙相通	164029	17316	3	3	2.93
幕	164029	17316	3	3	2.93
高纬度	164029	17316	3	3	2.93
神字	164029	17316	3	3	2.93
预兆	164029	17316	3	3	2.93
■	164029	17316	3	3	2.93
阴私	164029	17316	3	3	2.93
定伯	164029	17316	3	3	2.93
妨	164029	17316	3	3	2.93
问道	164029	17316	3	3	2.93
摩	164029	17316	3	3	2.93
名吊	164029	17316	3	3	2.93
转生	164029	17316	33	10	2.91
例子	164029	17316	18	7	2.87
讲	164029	17316	23	8	2.85
想象	164029	17316	23	8	2.85
直播	164029	17316	6	4	2.83
这	164029	17316	436	64	2.81
区别	164029	17316	14	6	2.77
言	164029	17316	14	6	2.77
灵性	164029	17316	14	6	2.77
一	164029	17316	953	125	2.77
：	164029	17316	1075	139	2.76
必	164029	17316	29	9	2.76
必死	164029	17316	10	5	2.72
甲骨文	164029	17316	10	5	2.72
转世	164029	17316	10	5	2.72
假说	164029	17316	24	8	2.72
经历	164029	17316	41	11	2.70
又	164029	17316	195	33	2.69
因此	164029	17316	100	20	2.68
怎	164029	17316	30	9	2.65
跟	164029	17316	30	9	2.65
身上	164029	17316	36	10	2.62
害怕	164029	17316	36	10	2.62
恶鬼	164029	17316	25	8	2.60
早已	164029	17316	15	6	2.60
二十	164029	17316	15	6	2.60
变成	164029	17316	55	13	2.57
气	164029	17316	11	5	2.51
种类	164029	17316	11	5	2.51
说明	164029	17316	11	5	2.51
说文解字	164029	17316	11	5	2.51
墨子	164029	17316	11	5	2.51
Chinese	164029	17316	7	4	2.51
西班牙语	164029	17316	7	4	2.51
极大	164029	17316	7	4	2.51
宗法	164029	17316	7	4	2.51
浓厚	164029	17316	7	4	2.51
形容	164029	17316	7	4	2.51
称之为	164029	17316	7	4	2.51
最为	164029	17316	7	4	2.51
披头散发	164029	17316	7	4	2.51
早	164029	17316	26	8	2.49
与	164029	17316	332	49	2.43
只是	164029	17316	45	11	2.38
夜行	164029	17316	4	3	2.38
米斯基镇	164029	17316	4	3	2.38
组成部分	164029	17316	4	3	2.38
象形字	164029	17316	4	3	2.38
鬼头	164029	17316	4	3	2.38
感应	164029	17316	4	3	2.38
便利店	164029	17316	4	3	2.38
变迁	164029	17316	4	3	2.38
变身	164029	17316	4	3	2.38
狰狞	164029	17316	4	3	2.38
炸	164029	17316	4	3	2.38
上	164029	17316	502	69	2.37
头	164029	17316	39	10	2.37
看到	164029	17316	100	19	2.36
人形	164029	17316	12	5	2.32
呈现	164029	17316	12	5	2.32
很	164029	17316	161	27	2.31
含义	164029	17316	17	6	2.30
驱鬼	164029	17316	17	6	2.30
描述	164029	17316	28	8	2.29
如此	164029	17316	28	8	2.29
人为	164029	17316	8	4	2.25
阴暗	164029	17316	8	4	2.25
十二类	164029	17316	8	4	2.25
常见鬼	164029	17316	8	4	2.25
以	164029	17316	283	42	2.25
否	164029	17316	67	14	2.25
特点	164029	17316	23	7	2.22
称为	164029	17316	41	10	2.22
相信	164029	17316	89	17	2.21
指	164029	17316	61	13	2.20
词	164029	17316	35	9	2.20
因为	164029	17316	134	23	2.20
崇拜	164029	17316	29	8	2.20
地	164029	17316	205	32	2.18
到底	164029	17316	18	6	2.17
聊斋	164029	17316	13	5	2.16
就是	164029	17316	55	12	2.16
in	164029	17316	143	24	2.15
还有	164029	17316	69	14	2.15
来	164029	17316	657	85	2.14
但	164029	17316	281	41	2.13
认为	164029	17316	144	24	2.12
因素	164029	17316	24	7	2.12
特别	164029	17316	24	7	2.12
